Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QA","Élevage","2","Afghanistan","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","12053","","Donnée officielle"
"QA","Élevage","202","Afrique du Sud","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","161600","","Donnée officielle"
"QA","Élevage","3","Albanie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","8928","","Donnée officielle"
"QA","Élevage","4","Algérie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","130000","F","Estimation FAO"
"QA","Élevage","79","Allemagne","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","160774","","Donnée officielle"
"QA","Élevage","7","Angola","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","27207","","Donnée officielle"
"QA","Élevage","8","Antigua-et-Barbuda","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","150","F","Estimation FAO"
"QA","Élevage","151","Antilles néerlandaises (ex)","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","155","F","Estimation FAO"
"QA","Élevage","194","Arabie saoudite","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","181500","F","Estimation FAO"
"QA","Élevage","9","Argentine","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","107000","F","Estimation FAO"
"QA","Élevage","1","Arménie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","3825","*","Chiffre non officiel"
"QA","Élevage","22","Aruba","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"QA","Élevage","10","Australie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","98653","","Donnée officielle"
"QA","Élevage","11","Autriche","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","16300","F","Estimation FAO"
"QA","Élevage","52","Azerbaïdjan","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","23600","*","Chiffre non officiel"
"QA","Élevage","12","Bahamas","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","3000","F","Estimation FAO"
"QA","Élevage","13","Bahreïn","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","550","F","Estimation FAO"
"QA","Élevage","16","Bangladesh","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","249010","","Donnée officielle"
"QA","Élevage","14","Barbade","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","3600","F","Estimation FAO"
"QA","Élevage","57","Bélarus","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","39200","*","Chiffre non officiel"
"QA","Élevage","255","Belgique","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","36219","","Donnée officielle"
"QA","Élevage","23","Belize","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1560","F","Estimation FAO"
"QA","Élevage","53","Bénin","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","18198","","Donnée officielle"
"QA","Élevage","17","Bermudes","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","50","F","Estimation FAO"
"QA","Élevage","18","Bhoutan","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","552","","Donnée officielle"
"QA","Élevage","19","Bolivie (État plurinational de)","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","190543","","Donnée officielle"
"QA","Élevage","80","Bosnie-Herzégovine","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","24505","","Donnée officielle"
"QA","Élevage","20","Botswana","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1081","","Donnée officielle"
"QA","Élevage","21","Brésil","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1246638","","Donnée officielle"
"QA","Élevage","26","Brunéi Darussalam","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","19000","F","Estimation FAO"
"QA","Élevage","27","Bulgarie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","13837","","Donnée officielle"
"QA","Élevage","233","Burkina Faso","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","32769","","Donnée officielle"
"QA","Élevage","29","Burundi","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1846","","Donnée officielle"
"QA","Élevage","35","Cabo Verde","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1117","","Donnée officielle"
"QA","Élevage","115","Cambodge","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","13000","F","Estimation FAO"
"QA","Élevage","32","Cameroun","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","48500","F","Estimation FAO"
"QA","Élevage","33","Canada","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","166500","F","Estimation FAO"
"QA","Élevage","40","Chili","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","47558","","Donnée officielle"
"QA","Élevage","351","Chine","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","4835178","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QA","Élevage","50","Chypre","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","2495","","Donnée officielle"
"QA","Élevage","44","Colombie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","139986","","Donnée officielle"
"QA","Élevage","45","Comores","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","520","F","Estimation FAO"
"QA","Élevage","46","Congo","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","2850","F","Estimation FAO"
"QA","Élevage","48","Costa Rica","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","23200","F","Estimation FAO"
"QA","Élevage","107","Côte d'Ivoire","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","58380","","Donnée officielle"
"QA","Élevage","98","Croatie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","4125","","Donnée officielle"
