Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","2","Afghanistan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3415","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","202","Afrique du Sud","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8287","","Donnée officielle"
"TA","Animaux vivants","3","Albanie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5821","","Donnée officielle"
"TA","Animaux vivants","4","Algérie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","22905","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","173124","","Donnée officielle"
"TA","Animaux vivants","7","Angola","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","688","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","36","","Donnée officielle"
"TA","Animaux vivants","151","Antilles néerlandaises (ex)","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","123","F","Estimation FAO"
"TA","Animaux vivants","194","Arabie saoudite","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","26985","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10923","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4397","","Donnée officielle"
"TA","Animaux vivants","22","Aruba","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","109","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","11","Autriche","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","27464","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5109","","Donnée officielle"
"TA","Animaux vivants","12","Bahamas","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","821","","Donnée officielle"
"TA","Animaux vivants","13","Bahreïn","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","173","","Donnée officielle"
"TA","Animaux vivants","16","Bangladesh","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10232","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","14","Barbade","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","57","Bélarus","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","18650","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","334425","","Donnée officielle"
"TA","Animaux vivants","15","Belgique-Luxembourg","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","23","Belize","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","403","","Donnée officielle"
"TA","Animaux vivants","53","Bénin","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","82","","Donnée officielle"
"TA","Animaux vivants","17","Bermudes","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1","","Donnée officielle"
"TA","Animaux vivants","18","Bhoutan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","90","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","19","Bolivie (État plurinational de)","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","6314","","Donnée officielle"
"TA","Animaux vivants","80","Bosnie-Herzégovine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1840","","Donnée officielle"
"TA","Animaux vivants","20","Botswana","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2934","","Donnée officielle"
"TA","Animaux vivants","21","Brésil","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2071","","Donnée officielle"
"TA","Animaux vivants","26","Brunéi Darussalam","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","893","","Donnée officielle"
"TA","Animaux vivants","27","Bulgarie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","6093","","Donnée officielle"
"TA","Animaux vivants","233","Burkina Faso","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","759","","Donnée officielle"
"TA","Animaux vivants","29","Burundi","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","251","","Donnée officielle"
"TA","Animaux vivants","35","Cabo Verde","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","253","","Donnée officielle"
"TA","Animaux vivants","115","Cambodge","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","502","","Donnée officielle"
"TA","Animaux vivants","32","Cameroun","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3660","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","33","Canada","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","38152","","Donnée officielle"
"TA","Animaux vivants","40","Chili","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4013","","Donnée officielle"
"TA","Animaux vivants","351","Chine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","76306","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TA","Animaux vivants","50","Chypre","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","715","","Donnée officielle"
"TA","Animaux vivants","44","Colombie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8926","","Donnée officielle"
"TA","Animaux vivants","45","Comores","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","15","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","46","Congo","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","47","","Donnée officielle"
"TA","Animaux vivants","48","Costa Rica","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3864","","Donnée officielle"
"TA","Animaux vivants","107","Côte d'Ivoire","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1595","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2962","","Donnée officielle"
"TA","Animaux vivants","49","Cuba","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","54","Danemark","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","16446","","Donnée officielle"
"TA","Animaux vivants","72","Djibouti","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","55","Dominique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","140","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","59","Égypte","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","421","","Donnée officielle"
"TA","Animaux vivants","60","El Salvador","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4519","","Donnée officielle"
"TA","Animaux vivants","225","Émirats arabes unis","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3037","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","58","Équateur","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","11476","","Donnée officielle"
"TA","Animaux vivants","178","Érythrée","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","203","Espagne","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","41540","","Donnée officielle"
"TA","Animaux vivants","63","Estonie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","591","","Donnée officielle"
"TA","Animaux vivants","209","Eswatini","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1847","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","231","États-Unis d'Amérique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","11616","","Donnée officielle"
"TA","Animaux vivants","238","Éthiopie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","106","","Donnée officielle"
"TA","Animaux vivants","62","Éthiopie RDP","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","185","Fédération de Russie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","52283","","Donnée officielle"
"TA","Animaux vivants","66","Fidji","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","11","","Donnée officielle"
"TA","Animaux vivants","67","Finlande","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1426","","Donnée officielle"
"TA","Animaux vivants","68","France","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","23124","","Donnée officielle"
"TA","Animaux vivants","74","Gabon","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","717","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","75","Gambie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","26","","Donnée officielle"
"TA","Animaux vivants","73","Géorgie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2147","","Donnée officielle"
"TA","Animaux vivants","81","Ghana","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8886","","Donnée officielle"
"TA","Animaux vivants","84","Grèce","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5986","","Donnée officielle"
"TA","Animaux vivants","86","Grenade","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","366","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","88","Guam","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","89","Guatemala","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","14331","","Donnée officielle"
"TA","Animaux vivants","90","Guinée","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1233","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","175","Guinée-Bissau","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","91","Guyana","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","36","","Donnée officielle"
"TA","Animaux vivants","93","Haïti","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5975","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","95","Honduras","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3801","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","97","Hongrie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","24739","","Donnée officielle"
