,Pays,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),%Protéines animale/protéines totales,%Evolution Population 2012/2013,Groupe
0,Afghanistan,4176.0,116.50999999999998,100.0,2.44,2
1,Afrique du Sud,6042.0,170.65,79.03,0.74,4
2,Albanie,6381.0,222.79000000000002,163.3,0.35,5
3,Algérie,6589.0,183.88000000000002,51.05,1.89,5
4,Allemagne,7001.0,202.98000000000005,103.48,-0.09,4
5,Angola,4947.0,114.53000000000007,35.4,3.13,2
6,Antigua-et-Barbuda,4833.0,167.20000000000002,227.46,1.12,1
7,Arabie saoudite,6511.0,183.22000000000003,59.63,1.91,5
8,Argentine,6455.0,205.23000000000008,108.86,0.87,5
9,Arménie,5852.0,180.10000000000002,108.1,0.27,4
10,Australie,6553.0,212.55,389.59,1.27,5
11,Autriche,7538.0,212.41,161.74,0.37,5
12,Azerbaïdjan,6231.0,186.26,52.93,1.12,5
13,Bahamas,5341.0,172.78,210.81,1.34,1
14,Bangladesh,4903.0,111.69999999999999,24.86,1.23,1
15,Barbade,5873.0,177.00000000000003,97.75,0.71,4
16,Belgique,7470.0,198.97000000000003,86.85,0.4,5
17,Belize,5497.0,146.46000000000004,81.14,2.47,1
18,Bermudes,5339.0,181.15999999999997,139.39,0.0,4
19,Bolivie (État plurinational de),4507.0,131.97,63.58,1.67,2
20,Bosnie-Herzégovine,6310.0,183.13000000000002,42.42,-0.13,4
21,Botswana,4651.0,129.7100000000001,76.38,0.85,1
22,Brunéi Darussalam,5970.0,186.7,84.24,1.46,5
23,Brésil,6525.0,190.0,121.33,0.86,5
24,Bulgarie,5657.0,166.93,137.3,-0.76,4
25,Burkina Faso,5437.0,158.74999999999997,17.57,2.89,1
26,Bélarus,6498.0,187.60000000000008,97.38,-0.51,4
27,Bénin,5238.0,128.81000000000006,47.57,2.71,2
28,Cabo Verde,5215.0,147.24,281.31,1.01,1
29,Cambodge,4949.0,131.32000000000002,41.62,1.82,2
30,Cameroun,5341.0,139.92999999999998,23.15,2.55,2
31,Canada,6993.0,210.01000000000008,144.02,0.99,5
32,Chili,5959.0,174.68,77.87,0.89,4
33,Chine,6220.0,196.09000000000003,95.84,0.61,5
34,Chypre,5295.0,155.14999999999998,155.61,1.06,1
35,Colombie,5604.0,128.69000000000003,75.61,1.29,1
36,Congo,4414.0,103.07999999999998,36.9,2.56,2
37,Costa Rica,5693.0,150.11000000000004,135.26,1.39,1
38,Croatie,6115.0,168.62,161.21,-0.39,4
39,Cuba,6810.0,181.72000000000006,87.72,-0.04,4
40,Côte d'Ivoire,5596.0,116.96000000000001,44.97,2.4,2
41,Danemark,6733.0,217.63000000000005,114.16,0.38,5
42,Djibouti,5216.0,131.46999999999997,57.08,1.51,1
43,Dominique,5860.0,152.53000000000003,101.95,0.0,4
44,El Salvador,5153.0,143.61999999999998,47.67,0.68,1
